serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,bars,trailstop,preopen,streamingpriority,strategy
29,AXP,AXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,27.05,N,28,ADR
30,AIG,AIG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,28.05,N,29,ADR
31,AMT,AMT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,29.05,N,30,ADR
32,AMP,AMP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,30.05,N,31,ADR
33,ABC,ABC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,31.05,N,32,ADR
34,AME,AME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,32.05,N,33,ADR
35,AMGN,AMGN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,33.05,N,34,ADR
36,APH,APH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,34.05,N,35,ADR
37,APC,APC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,35.05,N,36,ADR
38,ADI,ADI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,36.05,N,37,ADR
39,AON,AON,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,37.05,N,38,ADR
40,APA,APA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,38.05,N,39,ADR
41,AIV,AIV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,39.05,N,40,ADR
42,AAPL,AAPL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,40.05,N,41,ADR
43,AMAT,AMAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,41.05,N,42,ADR
44,ADM,ADM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,42.05,N,43,ADR
45,AIZ,AIZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,43.05,N,44,ADR
46,T,T,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,44.05,N,45,ADR
47,ADSK,ADSK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,45.05,N,46,ADR
48,ADP,ADP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,46.05,N,47,ADR
49,AN,AN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,47.05,N,48,ADR
50,AZO,AZO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,48.05,N,49,ADR
51,AVB,AVB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,49.05,N,50,ADR
52,AVY,AVY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,50.05,N,51,ADR
53,AVP,AVP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,51.05,N,52,ADR
54,BHI,BHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,52.05,N,53,ADR
55,BLL,BLL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,53.05,N,54,ADR
56,BAC,BAC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,54.05,N,55,ADR
57,BK,BK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,55.05,N,56,ADR
58,BCR,BCR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,56.05,N,57,ADR
59,BAX,BAX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,57.05,N,58,ADR
60,BBT,BBT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,58.05,N,59,ADR
61,BEAM,BEAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,59.05,N,60,ADR
62,BDX,BDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,60.05,N,61,ADR
63,BBBY,BBBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,61.05,N,62,ADR
64,BMS,BMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,62.05,N,63,ADR
65,BBY,BBY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,63.05,N,64,ADR
66,BIIB,BIIB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,64.05,N,65,ADR
67,BLK,BLK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,65.05,N,66,ADR
68,HRB,HRB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,66.05,N,67,ADR
69,BA,BA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,67.05,N,68,ADR
70,BWA,BWA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,68.05,N,69,ADR
71,BXP,BXP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,69.05,N,70,ADR
72,BSX,BSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,70.05,N,71,ADR
73,BMY,BMY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,71.05,N,72,ADR
74,BRCM,BRCM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,72.05,N,73,ADR
75,CHRW,CHRW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,73.05,N,74,ADR
76,CA,CA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,74.05,N,75,ADR
77,CVC,CVC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,75.05,N,76,ADR
78,COG,COG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,76.05,N,77,ADR
79,CAM,CAM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,77.05,N,78,ADR
80,CPB,CPB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,78.05,N,79,ADR
81,COF,COF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,79.05,N,80,ADR
82,CAH,CAH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,80.05,N,81,ADR
83,CFN,CFN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,81.05,N,82,ADR
84,KMX,KMX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,82.05,N,83,ADR
85,CCL,CCL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,83.05,N,84,ADR
86,CAT,CAT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,84.05,N,85,ADR
87,CBG,CBG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,85.05,N,86,ADR
88,CBS,CBS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,86.05,N,87,ADR
89,CELG,CELG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,87.05,N,88,ADR
90,CNP,CNP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,88.05,N,89,ADR
91,CTL,CTL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,89.05,N,90,ADR
92,CERN,CERN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,90.05,N,91,ADR
93,CF,CF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,91.05,N,92,ADR
94,SCHW,SCHW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,92.05,N,93,ADR
95,CHK,CHK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,93.05,N,94,ADR
96,CVX,CVX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,94.05,N,95,ADR
97,CMG,CMG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,95.05,N,96,ADR
98,CB,CB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,96.05,N,97,ADR
99,CI,CI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,97.05,N,98,ADR
100,CINF,CINF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,98.05,N,99,ADR
101,CTAS,CTAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,99.05,N,100,ADR
102,CSCO,CSCO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,100.05,N,101,ADR
103,C,C,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,101.05,N,102,ADR
104,CTXS,CTXS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,102.05,N,103,ADR
105,CLF,CLF,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,103.05,N,104,ADR
106,CLX,CLX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,104.05,N,105,ADR
107,CME,CME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,105.05,N,106,ADR
108,CMS,CMS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,106.05,N,107,ADR
109,COH,COH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,107.05,N,108,ADR
110,KO,KO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,108.05,N,109,ADR
111,CCE,CCE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,109.05,N,110,ADR
112,CTSH,CTSH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,110.05,N,111,ADR
113,CL,CL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,111.05,N,112,ADR
114,CMCSA,CMCSA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,112.05,N,113,ADR
115,CMA,CMA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,113.05,N,114,ADR
116,CSC,CSC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,114.05,N,115,ADR
117,CAG,CAG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,115.05,N,116,ADR
118,COP,COP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,116.05,N,117,ADR
119,CNX,CNX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,117.05,N,118,ADR
120,ED,ED,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,118.05,N,119,ADR
121,STZ,STZ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,119.05,N,120,ADR
122,GLW,GLW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,120.05,N,121,ADR
123,COST,COST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,121.05,N,122,ADR
124,COV,COV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,122.05,N,123,ADR
125,CCI,CCI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,123.05,N,124,ADR
126,CSX,CSX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,124.05,N,125,ADR
127,CMI,CMI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,125.05,N,126,ADR
128,CVS,CVS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,126.05,N,127,ADR
129,DHI,DHI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,127.05,N,128,ADR
130,DHR,DHR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,128.05,N,129,ADR
131,DRI,DRI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,129.05,N,130,ADR
132,DVA,DVA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,130.05,N,131,ADR
133,DE,DE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,131.05,N,132,ADR
134,DLPH,DLPH,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,132.05,N,133,ADR
135,DAL,DAL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,133.05,N,134,ADR
136,DNR,DNR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,134.05,N,135,ADR
137,XRAY,XRAY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,135.05,N,136,ADR
138,DVN,DVN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,136.05,N,137,ADR
139,DO,DO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,137.05,N,138,ADR
140,DTV,DTV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,138.05,N,139,ADR
141,DFS,DFS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,139.05,N,140,ADR
142,DISCA,DISCA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,140.05,N,141,ADR
143,DG,DG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,141.05,N,142,ADR
144,DLTR,DLTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,142.05,N,143,ADR
145,D,D,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,143.05,N,144,ADR
146,DOV,DOV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,144.05,N,145,ADR
147,DOW,DOW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,145.05,N,146,ADR
148,DPS,DPS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,146.05,N,147,ADR
149,DTE,DTE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,147.05,N,148,ADR
150,DD,DD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,148.05,N,149,ADR
151,DUK,DUK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,149.05,N,150,ADR
152,DNB,DNB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,150.05,N,151,ADR
153,ETFC,ETFC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,151.05,N,152,ADR
154,EMN,EMN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,152.05,N,153,ADR
155,ETN,ETN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,153.05,N,154,ADR
156,EBAY,EBAY,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,154.05,N,155,ADR
157,ECL,ECL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,155.05,N,156,ADR
158,EIX,EIX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,156.05,N,157,ADR
159,EW,EW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,157.05,N,158,ADR
160,EA,EA,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,158.05,N,159,ADR
161,EMC,EMC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,159.05,N,160,ADR
162,EMR,EMR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,160.05,N,161,ADR
163,ESV,ESV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,161.05,N,162,ADR
164,ETR,ETR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,162.05,N,163,ADR
165,EOG,EOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,163.05,N,164,ADR
166,EQT,EQT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,164.05,N,165,ADR
167,EFX,EFX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,165.05,N,166,ADR
168,EQR,EQR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,166.05,N,167,ADR
169,EL,EL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,167.05,N,168,ADR
170,EXC,EXC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,168.05,N,169,ADR
171,EXPE,EXPE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,169.05,N,170,ADR
172,EXPD,EXPD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,170.05,N,171,ADR
173,ESRX,ESRX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,171.05,N,172,ADR
174,XOM,XOM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,172.05,N,173,ADR
175,FFIV,FFIV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,173.05,N,174,ADR
176,FB,FB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,174.05,N,175,ADR
177,FDO,FDO,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,175.05,N,176,ADR
178,FAST,FAST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,176.05,N,177,ADR
179,FDX,FDX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,177.05,N,178,ADR
180,FIS,FIS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,178.05,N,179,ADR
181,FITB,FITB,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,179.05,N,180,ADR
182,FSLR,FSLR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,180.05,N,181,ADR
183,FE,FE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,181.05,N,182,ADR
184,FISV,FISV,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,182.05,N,183,ADR
185,FLIR,FLIR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,183.05,N,184,ADR
186,FLS,FLS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,184.05,N,185,ADR
187,FLR,FLR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,185.05,N,186,ADR
188,FMC,FMC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,186.05,N,187,ADR
189,FTI,FTI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,187.05,N,188,ADR
190,F,F,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,188.05,N,189,ADR
191,FRX,FRX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,189.05,N,190,ADR
192,FOSL,FOSL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,190.05,N,191,ADR
193,BEN,BEN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,191.05,N,192,ADR
194,FCX,FCX,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,192.05,N,193,ADR
195,FTR,FTR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,193.05,N,194,ADR
196,GME,GME,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,194.05,N,195,ADR
197,GCI,GCI,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,195.05,N,196,ADR
198,GPS,GPS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,196.05,N,197,ADR
199,GRMN,GRMN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,197.05,N,198,ADR
200,GD,GD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,198.05,N,199,ADR
201,GE,GE,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,199.05,N,200,ADR
202,GGP,GGP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,200.05,N,201,ADR
203,GIS,GIS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,201.05,N,202,ADR
204,GM,GM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,202.05,N,203,ADR
205,GPC,GPC,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,203.05,N,204,ADR
206,GNW,GNW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,204.05,N,205,ADR
207,GILD,GILD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,205.05,N,206,ADR
208,GS,GS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,206.05,N,207,ADR
209,GT,GT,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,207.05,N,208,ADR
210,GOOG,GOOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,208.05,N,209,ADR
211,GWW,GWW,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,209.05,N,210,ADR
212,HAL,HAL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,210.05,N,211,ADR
213,HOG,HOG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,211.05,N,212,ADR
214,HAR,HAR,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,212.05,N,213,ADR
215,HRS,HRS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,213.05,N,214,ADR
216,HIG,HIG,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,214.05,N,215,ADR
217,HAS,HAS,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,215.05,N,216,ADR
218,HCP,HCP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,216.05,N,217,ADR
219,HCN,HCN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,217.05,N,218,ADR
220,HP,HP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,218.05,N,219,ADR
221,HES,HES,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,219.05,N,220,ADR
222,HPQ,HPQ,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,220.05,N,221,ADR
223,HD,HD,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,221.05,N,222,ADR
224,HON,HON,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,222.05,N,223,ADR
225,HRL,HRL,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,223.05,N,224,ADR
226,HSP,HSP,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,224.05,N,225,ADR
227,HST,HST,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,225.05,N,226,ADR
228,HCBK,HCBK,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,226.05,N,227,ADR
229,HUM,HUM,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,227.05,N,228,ADR
230,HBAN,HBAN,STK,SMART,NASDAQ,USD,,,,,2000,100000,-500000,0,250,Y,228.05,N,229,ADR
